New Shipment ID,Old Shipment ID,Original Parcel Type
135,FOX0113048,LTL
136,FOX0119479,LTL
137,9.18E+14,Parcel
137,9.18E+14,Parcel
137,9.18E+14,Parcel
137,9.18E+14,Parcel
138,9.18E+14,Parcel
139,FOX0123649,LTL
140,9.18E+14,Parcel
141,9.18E+14,Parcel
142,9.18E+14,Parcel
143,FOX0117332,LTL
144,2.78E+14,Parcel
144,2.78E+14,Parcel
144,2.78E+14,Parcel
145,2.78E+14,Parcel
145,2.78E+14,Parcel
145,2.78E+14,Parcel
146,9.18E+14,Parcel
147,6.82E+11,Parcel
147,6.82E+11,Parcel
148,9.18E+14,Parcel
148,9.18E+14,Parcel
148,9.18E+14,Parcel
148,9.18E+14,Parcel
148,9.18E+14,Parcel
149,9.18E+14,Parcel
150,FOX0119930,LTL
151,9.18E+14,Parcel
151,9.18E+14,Parcel
151,9.18E+14,Parcel
152,6.59E+11,Parcel
152,6.59E+11,Parcel
153,6.59E+11,Parcel
153,6.59E+11,Parcel
153,6.59E+11,Parcel
153,6.59E+11,Parcel
153,6.59E+11,Parcel
153,6.59E+11,Parcel
153,6.59E+11,Parcel
153,6.59E+11,Parcel
153,6.59E+11,Parcel
153,6.59E+11,Parcel
153,6.59E+11,Parcel
153,6.59E+11,Parcel
154,6.59E+11,Parcel
155,6.59E+11,Parcel
155,6.59E+11,Parcel
156,6.59E+11,Parcel
157,9.18E+14,Parcel
158,9.18E+14,Parcel
159,9.18E+14,Parcel
159,9.18E+14,Parcel
159,9.18E+14,Parcel
159,9.18E+14,Parcel
160,9.18E+14,Parcel
161,9.18E+14,Parcel
162,9.18E+14,Parcel
162,9.18E+14,Parcel
163,9.18E+14,Parcel
164,9.18E+14,Parcel
165,9.18E+14,Parcel
166,9.18E+14,Parcel
167,6.59E+11,Parcel
167,6.59E+11,Parcel
167,6.59E+11,Parcel
167,6.59E+11,Parcel
167,6.59E+11,Parcel
167,6.59E+11,Parcel
167,6.59E+11,Parcel
167,6.59E+11,Parcel
167,6.59E+11,Parcel
167,6.59E+11,Parcel
167,6.59E+11,Parcel
167,6.59E+11,Parcel
167,6.59E+11,Parcel
167,6.59E+11,Parcel
167,6.59E+11,Parcel
167,6.59E+11,Parcel
167,6.59E+11,Parcel
167,6.59E+11,Parcel
167,6.59E+11,Parcel
167,6.59E+11,Parcel
167,6.59E+11,Parcel
167,6.59E+11,Parcel
167,6.59E+11,Parcel
167,6.59E+11,Parcel
167,6.59E+11,Parcel
167,6.59E+11,Parcel
167,6.59E+11,Parcel
167,6.59E+11,Parcel
167,6.59E+11,Parcel
167,6.59E+11,Parcel
167,6.59E+11,Parcel
167,6.59E+11,Parcel
168,6.59E+11,Parcel
168,6.59E+11,Parcel
168,6.59E+11,Parcel
169,6.82E+11,Parcel
169,6.82E+11,Parcel
169,6.82E+11,Parcel
169,6.82E+11,Parcel
169,6.82E+11,Parcel
169,6.82E+11,Parcel
170,9.18E+14,Parcel
170,9.18E+14,Parcel
171,9.18E+14,Parcel
172,9.18E+14,Parcel
172,9.18E+14,Parcel
172,9.18E+14,Parcel
172,9.18E+14,Parcel
172,9.18E+14,Parcel
173,FOX0113143,LTL
174,9.18E+14,Parcel
174,9.18E+14,Parcel
174,9.18E+14,Parcel
174,9.18E+14,Parcel
174,9.18E+14,Parcel
175,FOX0116667,LTL
176,FOX0124629,LTL
177,9.18E+14,Parcel
178,9.18E+14,Parcel
179,6.59E+11,Parcel
180,9.18E+14,Parcel
181,9.18E+14,Parcel
182,9.18E+14,Parcel
182,9.18E+14,Parcel
182,9.18E+14,Parcel
183,6.59E+11,Parcel
183,6.59E+11,Parcel
183,6.59E+11,Parcel
183,6.59E+11,Parcel
183,6.59E+11,Parcel
184,9.18E+14,Parcel
185,6.82E+11,Parcel
186,FOX0117570,LTL
187,FOX0117525,LTL
188,9.18E+14,Parcel
188,9.18E+14,Parcel
188,9.18E+14,Parcel
188,9.18E+14,Parcel
189,9.18E+14,Parcel
189,9.18E+14,Parcel
190,FOX0127061,LTL
191,6.59E+11,Parcel
192,FOX0121774,LTL
193,6.59E+11,Parcel
193,6.59E+11,Parcel
194,9.18E+14,Parcel
195,6.59E+11,Parcel
195,6.59E+11,Parcel
195,6.59E+11,Parcel
195,6.59E+11,Parcel
195,6.59E+11,Parcel
195,6.59E+11,Parcel
195,6.59E+11,Parcel
195,6.59E+11,Parcel
195,6.59E+11,Parcel
195,6.59E+11,Parcel
195,6.59E+11,Parcel
195,6.59E+11,Parcel
195,6.59E+11,Parcel
195,6.59E+11,Parcel
195,6.59E+11,Parcel
196,6.82E+11,Parcel
197,9.18E+14,Parcel
198,6.82E+11,Parcel
199,9.18E+14,Parcel
199,9.18E+14,Parcel
199,9.18E+14,Parcel
199,9.18E+14,Parcel
199,9.18E+14,Parcel
199,9.18E+14,Parcel
199,9.18E+14,Parcel
199,9.18E+14,Parcel
199,9.18E+14,Parcel
200,9.18E+14,Parcel
201,9.18E+14,Parcel
202,9.18E+14,Parcel
203,FOX0120043,LTL
