SHIPVIA_CODE,CARRIER_CODE,SERVICELEVEL_CODE,SHIPVIA_DESC,ACTUAL_SHIP_CODE,MODE,KB Comments,Moniker ,Parcel or LTL,Include / Exclude
KNMX,KHNN,KNMX,Kuehne & Nagel (Mexico) via HWA,8,INTL HWA,,International,LTL,Exclude
KNPA,KHNN,KNPA,Kuehne & Nagel (Panama) via HWA,8,INTL HWA,,International,LTL,Exclude
KNPE,KHNN,KNPE,Kuehne & Nagel (Peru) via HWA,8,INTL HWA,,International,LTL,Exclude
KOAR,KHNN,KOAR,Kuehne & Nagel (Argentina) via Ocean,8,OCEAN,,International,Ocean,Exclude
KOCL,KHNN,KOCL,Kuehne & Nagel (Chile) via Ocean,8,OCEAN,,International,Ocean,Exclude
KOCO,KHNN,KOCO,Kuehne & Nagel (Colombia) via Ocean,8,OCEAN,,International,Ocean,Exclude
KOPE,KHNN,KOPE,Kuehne & Nagel (Peru) via Ocean,8,OCEAN,,International,Ocean,Exclude
MCLT,MCLT,MCLT,CRANEWorldwideLgstcs,,TL,,GRND,TL,Include
MAC1,MOAV,MAC1,Mach1 - Next Day HWA,D,HWA,,Nextday,LTL,Include
MAC2,MOAV,MAC2,Mach1 - 2nd Day HWA,D,HWA,,2DAY,LTL,Include
MAC3,MOAV,MAC3,Mach1 - 3rd Day HWA,D,HWA,,3rdDAY,LTL,Include
MOAV,MOAV,MOAV,Mach1 Ground,D,LTL,,GRND,LTL,Include
MRAF,MRAF,MRAF,DW Morgan,,LTL,,#N/A,#N/A,Exclude
MTLE,MTLE,MTLE,MODE Transportation,,TL,,GRND,TL,Include
MXC,MXC,,MXC,,SHUTTLE,,Shuttle,Shuttle,Exclude
PAAF,PAAF,PAAF,Pilot Freight Services,,LTL,,GRND,LTL,Include
PRLA,PRLA,PRLA,Purolator Ground,4,PARCEL,,International,Parcel,Exclude
FNSH,RPSI,FNSH,FedEx Home (No Sig Required),[,PARCEL,,HOME,Parcel,include
FDRG,RPSI,FDRG,FedEx Ground - Residential,),PARCEL,,GRND,Parcel,Include
FNSG,RPSI,FNSG,FdX Gd Rsi N Sgn Rqd,),PARCEL,,GRND,Parcel,Include
FEDG,RPSI,FEDG,FedEx Ground,),PARCEL,,GRND,Parcel,Include
FEDH,RPSI,FEDH,FedEx Home Delivery,[,PARCEL,,HOME,Parcel,Include
FGCH,RPSI,FGCH,FedEx Ground - Chicago,),PARCEL,,GRND,Parcel,Include
FGCO,RPSI,FGCO,FedEx Ground - Cold,),PARCEL,,GRND,Parcel,Include
FGDA,RPSI,FGDA,FedEx Ground - Dallas,),PARCEL,,GRND,Parcel,Include
FGHA,RPSI,FGHA,FedEx Ground - Hagerstown,),PARCEL,,GRND,Parcel,Include
FGHO,RPSI,FGHO,FedEx Ground - Hot,),PARCEL,,GRND,Parcel,Include
